emp_no,title,from_date,to_date
10001,"Senior Engineer",1986-06-26,9999-01-01
10002,Staff,1996-08-03,9999-01-01
10003,"Senior Engineer",1995-12-03,9999-01-01
10004,Engineer,1986-12-01,1995-12-01
10004,"Senior Engineer",1995-12-01,9999-01-01
10005,"Senior Staff",1996-09-12,9999-01-01
10005,Staff,1989-09-12,1996-09-12
10006,"Senior Engineer",1990-08-05,9999-01-01
10007,"Senior Staff",1996-02-11,9999-01-01
10007,Staff,1989-02-10,1996-02-11
10008,"Assistant Engineer",1998-03-11,2000-07-31
10009,"Assistant Engineer",1985-02-18,1990-02-18
10009,Engineer,1990-02-18,1995-02-18
10009,"Senior Engineer",1995-02-18,9999-01-01
10010,Engineer,1996-11-24,9999-01-01
10011,Staff,1990-01-22,1996-11-09
10012,Engineer,1992-12-18,2000-12-18
10012,"Senior Engineer",2000-12-18,9999-01-01
10013,"Senior Staff",1985-10-20,9999-01-01
10014,Engineer,1993-12-29,9999-01-01
10015,"Senior Staff",1992-09-19,1993-08-22
10016,Staff,1998-02-11,9999-01-01
10017,"Senior Staff",2000-08-03,9999-01-01
10017,Staff,1993-08-03,2000-08-03
10018,Engineer,1987-04-03,1995-04-03
10018,"Senior Engineer",1995-04-03,9999-01-01
10019,Staff,1999-04-30,9999-01-01
10020,Engineer,1997-12-30,9999-01-01
10021,"Technique Leader",1988-02-10,2002-07-15
10022,Engineer,1999-09-03,9999-01-01
10023,Engineer,1999-09-27,9999-01-01
10024,"Assistant Engineer",1998-06-14,9999-01-01
10025,"Technique Leader",1987-08-17,1997-10-15
10026,Engineer,1995-03-20,2001-03-19
10026,"Senior Engineer",2001-03-19,9999-01-01
10027,Engineer,1995-04-02,2001-04-01
10027,"Senior Engineer",2001-04-01,9999-01-01
10028,Engineer,1991-10-22,1998-04-06
10029,Engineer,1991-09-18,2000-09-17
10029,"Senior Engineer",2000-09-17,9999-01-01
10030,Engineer,1994-02-17,2001-02-17
10030,"Senior Engineer",2001-02-17,9999-01-01
10031,Engineer,1991-09-01,1998-09-01
10031,"Senior Engineer",1998-09-01,9999-01-01
10032,Engineer,1990-06-20,1995-06-20
10032,"Senior Engineer",1995-06-20,9999-01-01
10033,"Technique Leader",1987-03-18,1993-03-24
10034,Staff,1995-04-12,1999-10-31
10035,Engineer,1988-09-05,1996-09-05
10035,"Senior Engineer",1996-09-05,9999-01-01
10036,"Senior Staff",1992-04-28,9999-01-01
10037,Engineer,1990-12-05,1995-12-05
10037,"Senior Engineer",1995-12-05,9999-01-01
10038,"Senior Staff",1996-09-20,9999-01-01
10038,Staff,1989-09-20,1996-09-20
10039,"Senior Staff",1997-01-18,9999-01-01
10039,Staff,1988-01-19,1997-01-18
10040,Engineer,1993-02-14,1999-02-14
10040,"Senior Engineer",1999-02-14,9999-01-01
10041,"Senior Staff",1998-11-12,9999-01-01
10041,Staff,1989-11-12,1998-11-12
10042,"Senior Staff",2000-03-21,2000-08-10
10042,Staff,1993-03-21,2000-03-21
10043,Engineer,1990-10-20,1997-10-20
10043,"Senior Engineer",1997-10-20,9999-01-01
10044,"Technique Leader",1994-05-21,9999-01-01
10045,Engineer,1996-11-16,9999-01-01
10046,"Senior Staff",2000-06-20,9999-01-01
10046,Staff,1992-06-20,2000-06-20
10047,Engineer,1989-03-31,1998-03-31
10047,"Senior Engineer",1998-03-31,9999-01-01
10048,Engineer,1985-02-24,1987-01-27
10049,"Senior Staff",2000-05-04,9999-01-01
10049,Staff,1992-05-04,2000-05-04
10050,"Senior Staff",1999-12-25,9999-01-01
10050,Staff,1990-12-25,1999-12-25
10051,Engineer,1992-10-15,1998-10-15
10051,"Senior Engineer",1998-10-15,9999-01-01
10052,"Senior Staff",2002-01-31,9999-01-01
10052,Staff,1997-01-31,2002-01-31
10053,"Senior Staff",1994-11-13,9999-01-01
10054,"Senior Staff",2000-07-28,9999-01-01
10054,Staff,1995-07-29,2000-07-28
10055,Staff,1992-04-27,1995-07-22
10056,Engineer,1990-02-01,1999-02-01
10056,"Senior Engineer",1999-02-01,9999-01-01
10057,Engineer,1992-01-15,2000-01-15
10057,"Senior Engineer",2000-01-15,9999-01-01
10058,"Senior Staff",1988-04-25,9999-01-01
10059,"Senior Staff",1991-06-26,9999-01-01
10060,"Senior Staff",1996-05-28,9999-01-01
10060,Staff,1989-05-28,1996-05-28
10061,"Senior Staff",1989-12-02,9999-01-01
10062,Engineer,1991-08-30,1999-08-30
10062,"Senior Engineer",1999-08-30,9999-01-01
10063,"Senior Engineer",1989-04-08,9999-01-01
10064,Staff,1985-11-20,1992-03-02
10065,Engineer,1998-05-24,9999-01-01
10066,"Assistant Engineer",1986-02-26,1992-02-26
10066,Engineer,1992-02-26,1998-02-25
10066,"Senior Engineer",1998-02-25,9999-01-01
10067,Engineer,1987-03-04,1996-03-03
10067,"Senior Engineer",1996-03-03,9999-01-01
10068,"Senior Staff",1996-08-06,9999-01-01
10068,Staff,1987-08-07,1996-08-06
10069,"Technique Leader",1992-06-14,9999-01-01
10070,"Technique Leader",1985-10-14,9999-01-01
10071,Staff,1995-08-05,9999-01-01
10072,Engineer,1989-05-21,1995-05-21
10072,"Senior Engineer",1995-05-21,9999-01-01
10073,Engineer,1998-02-02,1998-02-22
10074,"Technique Leader",1990-08-13,9999-01-01
10075,"Senior Engineer",1988-05-17,2001-01-15
10076,"Senior Engineer",1996-07-15,9999-01-01
10077,Staff,1994-12-23,9999-01-01
10078,Engineer,1994-09-29,9999-01-01
10079,"Technique Leader",1995-12-13,9999-01-01
10080,"Senior Staff",2001-09-28,9999-01-01
10080,Staff,1994-09-28,2001-09-28
10081,Engineer,1986-10-30,1991-10-30
10081,"Senior Engineer",1991-10-30,9999-01-01
10082,Staff,1990-01-03,1990-01-15
10083,Engineer,1987-03-31,1994-03-31
10083,"Senior Engineer",1994-03-31,9999-01-01
10084,Engineer,1995-12-15,2001-12-14
10084,"Senior Engineer",2001-12-14,9999-01-01
10085,"Senior Engineer",1994-04-09,9999-01-01
10086,"Senior Staff",1999-02-19,9999-01-01
10086,Staff,1992-02-19,1999-02-19
10087,Staff,1997-05-08,2001-01-09
10088,"Senior Staff",1993-09-02,9999-01-01
10088,Staff,1988-09-02,1993-09-02
10089,"Senior Staff",1996-01-11,9999-01-01
10089,Staff,1989-01-10,1996-01-11
10090,"Senior Engineer",1986-03-14,1999-05-07
10091,Engineer,1992-11-18,2001-11-18
10091,"Senior Engineer",2001-11-18,9999-01-01
10092,Engineer,1996-04-22,9999-01-01
10093,Staff,1997-06-08,9999-01-01
10094,"Senior Staff",1987-04-18,1997-11-08
10095,"Senior Staff",2000-03-09,9999-01-01
10095,Staff,1994-03-10,2000-03-09
10096,Engineer,1999-01-23,9999-01-01
10097,"Senior Staff",1996-09-14,9999-01-01
10097,Staff,1990-09-15,1996-09-14
10098,Engineer,1985-05-13,1992-05-13
10098,"Senior Engineer",1992-05-13,1992-12-11
10099,"Senior Staff",1995-10-19,9999-01-01
10099,Staff,1988-10-18,1995-10-19
10100,"Senior Staff",1994-09-21,9999-01-01
10100,Staff,1987-09-21,1994-09-21
10101,Staff,1998-10-14,2000-09-23
10102,"Assistant Engineer",1995-01-02,2002-01-02
10102,Engineer,2002-01-02,9999-01-01
10103,Engineer,1998-01-12,9999-01-01
10104,"Senior Staff",1987-04-16,9999-01-01
10105,Staff,1999-05-17,2001-06-11
10106,Engineer,1991-10-27,1997-10-26
10106,"Senior Engineer",1997-10-26,9999-01-01
10107,"Senior Staff",1999-03-30,9999-01-01
10108,Staff,1999-03-20,2001-10-20
10109,Engineer,1993-06-16,2001-06-16
10109,"Senior Engineer",2001-06-16,9999-01-01
10110,"Senior Staff",1992-08-21,9999-01-01
10110,Staff,1986-08-22,1992-08-21
10111,Engineer,1988-12-19,1996-12-19
10111,"Senior Engineer",1996-12-19,9999-01-01
10112,Staff,1998-05-01,9999-01-01
10113,Engineer,1998-09-14,9999-01-01
10114,"Senior Staff",1999-07-18,9999-01-01
10114,Staff,1992-07-17,1999-07-18
10115,Staff,1988-03-03,1992-05-24
10116,"Senior Engineer",1994-02-27,1998-11-01
10117,"Senior Engineer",1992-03-19,9999-01-01
10118,"Senior Engineer",1992-02-02,9999-01-01
10119,Engineer,1993-12-09,1997-10-30
10120,Engineer,1996-07-06,9999-01-01
10121,Engineer,1989-05-03,1996-05-03
10121,"Senior Engineer",1996-05-03,9999-01-01
10122,"Technique Leader",1998-08-06,9999-01-01
10123,"Assistant Engineer",1993-01-15,1999-01-15
10123,Engineer,1999-01-15,9999-01-01
10124,Engineer,1991-09-05,1998-09-05
10124,"Senior Engineer",1998-09-05,9999-01-01
10125,Staff,1990-10-26,1996-03-25
10126,"Senior Staff",1991-09-08,9999-01-01
10126,Staff,1985-09-08,1991-09-08
10127,"Senior Engineer",1991-05-17,9999-01-01
10128,"Senior Staff",1995-06-07,9999-01-01
10128,Staff,1988-06-06,1995-06-07
10129,"Technique Leader",1996-01-16,9999-01-01
10130,"Senior Engineer",1988-06-21,9999-01-01
10131,Engineer,1999-09-17,1999-12-06
10132,Staff,1997-06-18,9999-01-01
10133,Engineer,1985-12-15,1991-12-15
10133,"Senior Engineer",1991-12-15,9999-01-01
10134,Engineer,1987-12-12,1994-12-12
10134,"Senior Engineer",1994-12-12,9999-01-01
10135,"Assistant Engineer",1990-01-04,1999-01-04
10135,Engineer,1999-01-04,9999-01-01
10136,"Senior Staff",1997-06-13,1999-09-20
10136,Staff,1988-06-13,1997-06-13
10137,"Senior Staff",1994-02-18,9999-01-01
10137,Staff,1985-02-18,1994-02-18
10138,Engineer,1992-03-03,2001-03-03
10138,"Senior Engineer",2001-03-03,9999-01-01
10139,Engineer,1998-03-15,9999-01-01
10140,"Senior Staff",1998-03-14,9999-01-01
10140,Staff,1991-03-14,1998-03-14
10141,"Senior Staff",1998-07-23,9999-01-01
10142,Engineer,1993-10-28,2001-10-28
10142,"Senior Engineer",2001-10-28,9999-01-01
10143,Engineer,1988-09-30,1993-09-30
10143,"Senior Engineer",1993-09-30,9999-01-01
10144,"Senior Staff",1992-10-14,1993-08-10
10144,Staff,1985-10-14,1992-10-14
10145,Engineer,1999-11-03,9999-01-01
10146,Staff,1988-06-28,1990-09-07
10147,"Senior Staff",1995-12-18,9999-01-01
10147,Staff,1987-12-18,1995-12-18
10148,Staff,1996-07-15,9999-01-01
10149,Staff,1994-01-28,1996-08-27
10150,Engineer,1986-11-16,1995-11-16
10150,"Senior Engineer",1995-11-16,9999-01-01
10151,"Senior Staff",1997-12-12,9999-01-01
10151,Staff,1992-12-12,1997-12-12
10152,Engineer,1986-01-27,1987-08-03
10153,"Assistant Engineer",2000-01-08,9999-01-01
10154,Staff,1996-10-23,9999-01-01
10155,"Senior Staff",1996-01-05,9999-01-01
10155,Staff,1990-01-05,1996-01-05
10156,Engineer,1993-05-14,2001-05-14
10156,"Senior Engineer",2001-05-14,9999-01-01
10157,"Senior Engineer",1997-12-10,9999-01-01
10158,Engineer,1987-06-04,1996-06-03
10158,"Senior Engineer",1996-06-03,9999-01-01
10159,"Senior Engineer",1996-06-12,9999-01-01
10160,"Senior Staff",2000-12-06,9999-01-01
10160,Staff,1993-12-06,2000-12-06
10161,Engineer,1991-06-09,1994-01-05
10162,Engineer,1998-05-27,9999-01-01
10163,"Senior Staff",1992-02-02,9999-01-01
10164,Engineer,1990-10-19,1999-10-19
10164,"Senior Engineer",1999-10-19,9999-01-01
10165,"Senior Staff",1988-05-17,9999-01-01
10166,Engineer,1996-09-02,9999-01-01
10167,Engineer,1992-04-04,2001-04-04
10167,"Senior Engineer",2001-04-04,9999-01-01
10168,"Senior Staff",1995-12-06,9999-01-01
10168,Staff,1986-12-06,1995-12-06
10169,Engineer,1998-06-28,9999-01-01
10170,Engineer,1986-01-02,1989-02-06
10171,"Technique Leader",1996-08-05,9999-01-01
10172,Engineer,1998-02-04,9999-01-01
10173,"Senior Staff",1999-03-22,9999-01-01
10173,Staff,1992-03-21,1999-03-22
10174,Engineer,1987-06-01,1995-06-01
10174,"Senior Engineer",1995-06-01,9999-01-01
10175,Staff,1988-09-24,1995-05-24
10176,"Senior Staff",1999-12-22,9999-01-01
10176,Staff,1994-12-22,1999-12-22
10177,Staff,1993-02-06,1994-03-17
10178,Staff,1994-03-21,9999-01-01
10179,Engineer,2000-01-25,9999-01-01
10180,"Senior Staff",2002-07-01,9999-01-01
10180,Staff,1994-07-01,2002-07-01
10181,"Senior Engineer",1988-06-22,9999-01-01
10182,Engineer,1990-09-02,1995-09-02
10182,"Senior Engineer",1995-09-02,9999-01-01
10183,Staff,1996-08-11,9999-01-01
10184,Staff,1997-12-26,9999-01-01
10185,"Senior Staff",1992-02-29,9999-01-01
10185,Staff,1986-03-01,1992-02-29
10186,Staff,1996-12-25,1997-08-16
10187,"Senior Staff",2000-05-31,9999-01-01
10187,Staff,1991-06-01,2000-05-31
10188,"Senior Engineer",1987-08-27,9999-01-01
10189,Engineer,1992-09-13,1993-06-29
10190,Engineer,1986-06-23,1994-06-23
10190,"Senior Engineer",1994-06-23,9999-01-01
10191,"Senior Engineer",1986-04-10,9999-01-01
10192,Engineer,1988-06-13,1993-06-13
10192,"Senior Engineer",1993-06-13,9999-01-01
10193,Engineer,1996-09-21,9999-01-01
10194,"Senior Staff",2002-02-14,9999-01-01
10194,Staff,1997-02-14,2002-02-14
10195,Engineer,1985-02-15,1991-02-15
10195,"Senior Engineer",1991-02-15,2001-04-14
10196,Staff,1999-01-31,9999-01-01
10197,Engineer,1994-06-28,2001-06-28
10197,"Senior Engineer",2001-06-28,9999-01-01
10198,Engineer,1985-08-31,1993-08-31
10198,"Senior Engineer",1993-08-31,9999-01-01
10199,Staff,1998-02-07,9999-01-01
10200,Engineer,1994-02-17,2000-02-17
10200,"Senior Engineer",2000-02-17,9999-01-01
10201,Engineer,1992-11-10,1998-11-10
10201,"Senior Engineer",1998-11-10,9999-01-01
10202,Engineer,1991-10-06,2000-10-05
10202,"Senior Engineer",2000-10-05,9999-01-01
10203,"Senior Staff",1995-04-06,9999-01-01
10203,Staff,1989-04-06,1995-04-06
10204,Engineer,1998-12-18,1999-03-08
10205,"Senior Engineer",1993-08-23,9999-01-01
10206,"Technique Leader",1988-04-19,9999-01-01
10207,Engineer,1992-10-11,1997-10-11
10207,"Senior Engineer",1997-10-11,9999-01-01
10208,Staff,1995-02-05,1999-05-15
10209,"Senior Staff",1997-11-22,9999-01-01
10209,Staff,1991-11-23,1997-11-22
10210,"Senior Staff",2002-02-23,9999-01-01
10210,Staff,1996-02-24,2002-02-23
10211,Engineer,1991-11-22,1996-11-21
10211,"Senior Engineer",1996-11-21,9999-01-01
10212,Engineer,1996-01-28,2001-01-27
10212,"Senior Engineer",2001-01-27,9999-01-01
10213,Staff,1994-10-06,9999-01-01
10214,"Senior Staff",1988-02-29,9999-01-01
10215,"Senior Staff",1991-11-23,9999-01-01
10216,"Senior Staff",1993-10-29,9999-01-01
10216,Staff,1987-10-30,1993-10-29
10217,"Technique Leader",1986-05-12,1993-08-05
10218,"Senior Engineer",1997-01-31,9999-01-01
10219,"Senior Staff",1993-03-31,9999-01-01
10220,Staff,1997-09-16,9999-01-01
10221,Engineer,1988-06-08,1997-06-08
10221,"Senior Engineer",1997-06-08,2000-10-04
10222,"Assistant Engineer",1986-06-08,1995-06-08
10222,Engineer,1995-06-08,9999-01-01
10223,Engineer,1998-04-01,9999-01-01
10224,Engineer,1988-01-09,1996-01-09
10224,"Senior Engineer",1996-01-09,9999-01-01
10225,Staff,1995-12-14,9999-01-01
10226,Staff,1996-01-29,9999-01-01
10227,"Technique Leader",1994-11-01,9999-01-01
10228,"Senior Staff",1998-12-22,9999-01-01
10228,Staff,1992-12-22,1998-12-22
10229,Engineer,1996-02-20,2000-06-30
10230,"Senior Staff",2002-06-16,9999-01-01
10230,Staff,1996-06-16,2002-06-16
10231,Staff,1998-09-09,9999-01-01
10232,"Senior Staff",1998-06-04,9999-01-01
10232,Staff,1992-06-04,1998-06-04
10233,"Senior Staff",2000-04-28,9999-01-01
10233,Staff,1994-04-29,2000-04-28
10234,"Senior Staff",1995-11-19,1999-08-06
10234,Staff,1990-11-19,1995-11-19
10235,"Senior Engineer",1995-04-06,9999-01-01
10236,Staff,1996-08-30,9999-01-01
10237,"Senior Staff",1997-08-11,2000-02-21
10237,Staff,1989-08-11,1997-08-11
10238,Engineer,1995-03-31,9999-01-01
10239,Staff,1996-05-04,9999-01-01
10240,Engineer,1998-10-06,9999-01-01
10241,"Senior Staff",1995-06-13,9999-01-01
10241,Staff,1988-06-12,1995-06-13
10242,Engineer,1988-01-18,1995-01-18
10242,"Senior Engineer",1995-01-18,9999-01-01
10243,"Senior Staff",1986-06-07,9999-01-01
10244,Engineer,1999-09-16,9999-01-01
10245,Staff,1994-04-21,1995-02-20
10246,"Senior Engineer",1991-02-01,9999-01-01
10247,Engineer,1992-08-14,1998-08-14
10247,"Senior Engineer",1998-08-14,9999-01-01
10248,"Senior Staff",1997-08-12,9999-01-01
10248,Staff,1991-08-13,1997-08-12
10249,Engineer,1991-12-08,2000-12-07
10249,"Senior Engineer",2000-12-07,9999-01-01
10250,Engineer,1992-08-30,2001-08-30
10250,"Senior Engineer",2001-08-30,9999-01-01
10251,"Senior Staff",2001-06-25,9999-01-01
10251,Staff,1992-06-25,2001-06-25
10252,Engineer,1990-11-08,1998-11-08
10252,"Senior Engineer",1998-11-08,9999-01-01
10253,"Senior Staff",1993-02-21,1994-03-20
10253,Staff,1985-02-21,1993-02-21
10254,"Senior Staff",1998-06-14,9999-01-01
10254,Staff,1990-06-14,1998-06-14
10255,Engineer,1993-05-12,1999-05-12
10255,"Senior Engineer",1999-05-12,1999-11-14
10256,"Senior Staff",1990-10-12,9999-01-01
10256,Staff,1985-10-12,1990-10-12
10257,"Technique Leader",1997-07-16,9999-01-01
10258,"Assistant Engineer",1985-05-17,1991-05-17
10258,Engineer,1991-05-17,1997-05-16
10258,"Senior Engineer",1997-05-16,9999-01-01
10259,"Senior Staff",1993-07-24,1999-01-06
10259,Staff,1987-07-25,1993-07-24
10260,Engineer,1993-02-01,2002-02-01
10260,"Senior Engineer",2002-02-01,9999-01-01
10261,"Senior Engineer",1996-09-11,1999-02-23
10262,Staff,1996-01-22,9999-01-01
10263,Staff,1996-12-21,9999-01-01
10264,Engineer,1997-07-16,9999-01-01
10265,"Senior Engineer",1997-09-12,9999-01-01
10266,"Senior Engineer",1990-05-25,9999-01-01
10267,Engineer,1997-04-26,9999-01-01
10268,Engineer,1986-12-17,1990-08-17
10269,Engineer,1988-07-24,1996-07-24
10269,"Senior Engineer",1996-07-24,9999-01-01
